label,news_text,id,preprocessed_news_text
false,Says Russ Feingold voted to give Social Security benefits to illegal immigrants,9822,say russ feingold vote give social secur benefit illeg immigr
barely-true,Says Texas proved in court that more than 200 dead people voted in the latest Texas election.,8580,say texa prove court 200 dead peopl vote latest texa elect
false,Says the New York Times can write a story that they know is false yet they cant basically be sued.,8410,say new york time write stori know fals yet cant basic su
mostly-true,"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",721,say last six month bush administr lost million job includ job januari 2009 alon
false,A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.,9156,state trooper 10 year forc get 500 year trooper 10 minut forc
barely-true,Says State Comptroller Matthew Boxer pointed out that many towns are artificially lowering the real estate values that they report to Trenton in order to get hundreds of millions of dollars of additional school aid. This is the kind of fraud that needs to be addressed immediately.,9938,say state comptrol matthew boxer point mani town artifici lower real estat valu report trenton order get hundr million dollar addit school aid kind fraud need address immedi
mostly-true,"This year, were off to our best private-sector jobs growth since 1999.",584,year best job growth sinc 1999
true,"Under President Barack Obamas jobs bill, you can sue if you are unemployed and dont get the job and think you werent hired because you are unemployed.",6865,presid barack obama job bill sue unemploy dont get job think werent hire unemploy
barely-true,"Residents could have received nearly $48M for Local Schools, Fire District, Sheriffs Dept. and Social Services.",5354,resid could receiv nearli 48m local school fire district sheriff dept social servic
false,On the Trans-Pacific Partnership.,2923,partnership
half-true,Every year there is a slightly smaller percentage of American households owning guns.,4544,everi year slightli smaller percentag american household own gun
false,We have unemployment that rivals the Great Depression.,4583,unemploy rival great depress
pants-fire,Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent,3135,bicycl ownership drop half obes rhode island rise 154 percent
pants-fire,"Says Democratic challenger for his N.C. House seat raised taxes on clothing, school supplies even baby diapers!",5721,say democrat challeng hous seat rais tax cloth school suppli even babi diaper
true,"In just a few decades, Social Security, Medicare and Medicaid, other mandatory spending programs, and paying interest due on the debt will eclipse our entire budget.",8931,decad social secur medicar medicaid mandatori spend program pay interest due debt eclips entir budget
mostly-true,"Over 80 percent of the people want the shot to vote on whether to approve same-sex marriage, according to polls.",8600,80 percent peopl want shot vote whether approv marriag accord poll
half-true,"Says administrator salaries were increased, but other school employees were left behind.",2920,say administr salari increas school employe left behind
half-true,The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements.,7739,total state payrol gone total amount number worker state gone like fact bulk retir
barely-true,Says he has nearly 200 delegates bound to support his candidacy at the Republican National Convention.,9992,say nearli 200 deleg bound support candidaci republican nation convent
half-true,"After a federal inquiry corroborated Hillary Clinton on Whitewater, the next day, there was nothing in the media about it.",4414,feder inquiri corrobor hillari clinton whitewat next day noth media
pants-fire,"Pope Francis uses a modest compact car to get around, while Creflo Dollar drives an expensive sports car.",7007,pope franci use modest compact car get around creflo dollar drive expens sport car
mostly-true,The Obama administration has cut taxes on small businesses 17 times.,9224,obama administr cut tax small busi 17 time
true,Georgia lawmakers fuel up for the session by feasting on wild hogs.,8881,georgia lawmak fuel session feast wild hog
pants-fire,Says U.S. Rep. Steve Southerland voted himself health care for life.,3746,say steve southerland vote health care life
half-true,Says Romney and Ryan both backed proposals that would outlaw abortions even in cases of rape or incest.,9683,say romney ryan back propos would outlaw abort even case rape incest
barely-true,"Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.",855,statist bear time countri state make restrict abort law fatal go abort actual increas
true,Small businesses create 70 percent of the jobs in America.,180,small busi creat 70 percent job america
mostly-true,"Georgia is one of seven states to lose jobs in 2011 and has lost 8,200 jobs so far.",3322,georgia one seven state lose job 2011 lost job far
half-true,Buck wants to privatize Social Security.,4811,buck want privat social secur
barely-true,"We have drawn down to presurge levels. Basra, Mosul and now Sadr City are quiet and it's long and it's tough and there will be setbacks.",1323,drawn presurg level basra mosul sadr citi quiet long tough setback
true,Hair stylists are required to undergo more government scrutiny than foreclosure consultants.,4597,hair stylist requir undergo govern scrutini foreclosur consult
true,Supreme Court 15 times over the last 120 years has said marriage is a fundamental right and never said it had to be between a man and a woman.,7240,suprem court 15 time last 120 year said marriag fundament right never said man woman
false,I won the majority of the Republican vote in both New Hampshire and South Carolina.,9451,major republican vote new hampshir south carolina
false,Says Daniel Webster thinks wives should submit to their husbands.,4998,say daniel webster think wive submit husband
pants-fire,"According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola.",2531,accord govern supplier emerg product disast assist respons team told prepar activ month octob outbreak ebola
true,"Romney refused to pardon ""a decorated soldier"" returning from Iraq who had been charged with a crime involving a BB gun when he was 13.",5513,romney refus pardon decor soldier return iraq charg crime involv bb gun 13
half-true,Independent analysts say (Donald Trump) would add $30 trillion to the national debt.,4900,independ analyst say donald trump would add 30 trillion nation debt
pants-fire,Says raising the state income tax rate on millionaires to offset property taxes for other residents is not a tax increase. Its a tax shift.,4157,say rais state incom tax rate millionair offset properti tax resid tax increas tax shift
barely-true,The Senate proposal to restore emergency unemployment benefits for five months was fully paid for.,9812,senat propos restor emerg unemploy benefit five month fulli paid
mostly-true,"By the time Obama took office, The Bush administration had given the car companies $13 billion and the money was now gone.",6873,time obama took offic bush administr given car compani 13 billion money gone
half-true,Were not engaged in nation-building in Afghanistan.,7230,engag afghanistan
false,"I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.",9842,prostat cancer five six year ago chanc surviv prostat cancer thank god cure unit state 82 chanc surviv prostat cancer england 44 social medicin
pants-fire,Congressman Scott DesJarlais is spending his one year anniversary on vacation -- only working 6 days in all of January.,8127,congressman scott desjarlai spend one year anniversari vacat work 6 day januari
true,There has not been a Democratic woman in Congress from New Jersey in almost four decades.,6044,democrat woman congress new jersey almost four decad
false,"Says President Barack Obama said when we got bin Laden, terrorism problem solved.",4543,say presid barack obama said got bin laden terror problem solv
